Canton;Annee;Parti;Suffrage_en_pourcent
Bern / Berne;1991;Lega;
Bern / Berne;1991;MCR;
Bern / Berne;1991;Sép.;1.68
Bern / Berne;1991;Autres;1.18
Bern / Berne;1987;PLR;16.11
Bern / Berne;1987;PDC;2.36
Bern / Berne;1987;PS;22.26
Bern / Berne;1987;UDC;27.78
Bern / Berne;1987;PL;
Bern / Berne;1987;AdI;3.6
Bern / Berne;1987;PEV;3.4
Bern / Berne;1987;PCS;
Bern / Berne;1987;PVL;
Bern / Berne;1987;PBD;
Bern / Berne;1987;PST;
Bern / Berne;1987;PSA;
Bern / Berne;1987;POCH;
Bern / Berne;1987;PES;9.24
Bern / Berne;1987;AVF;2.59
Bern / Berne;1987;Sol.;
Bern / Berne;1987;Rép.;
Bern / Berne;1987;DS;3.19
Bern / Berne;1987;UDF;2.71
Bern / Berne;1987;PSL;3.16
Bern / Berne;1987;Lega;
Bern / Berne;1987;MCR;
Bern / Berne;1987;Sép.;0.97
Bern / Berne;1987;Autres;2.64
Bern / Berne;1983;PLR;15.1
Bern / Berne;1983;PDC;2.14
Bern / Berne;1983;PS;28.26
Bern / Berne;1983;UDC;29.02
Bern / Berne;1983;PL;
Bern / Berne;1983;AdI;3.22
Bern / Berne;1983;PEV;3.26
Bern / Berne;1983;PCS;
Bern / Berne;1983;PVL;
Bern / Berne;1983;PBD;
Bern / Berne;1983;PST;
Bern / Berne;1983;PSA;
Bern / Berne;1983;POCH;1.59
Bern / Berne;1983;PES;
Bern / Berne;1983;AVF;2.24
Bern / Berne;1983;Sol.;
Bern / Berne;1983;Rép.;
Bern / Berne;1983;DS;5.99
Bern / Berne;1983;UDF;1.81
Bern / Berne;1983;PSL;
Bern / Berne;1983;Lega;
Bern / Berne;1983;MCR;
Bern / Berne;1983;Sép.;2.15
Bern / Berne;1983;Autres;5.2
Bern / Berne;1979;PLR;17.96
Bern / Berne;1979;PDC;2.47
Bern / Berne;1979;PS;30.52
Bern / Berne;1979;UDC;31.51
Bern / Berne;1979;PL;
Bern / Berne;1979;AdI;3.09
Bern / Berne;1979;PEV;3.37
Bern / Berne;1979;PCS;
Bern / Berne;1979;PVL;
Bern / Berne;1979;PBD;
Bern / Berne;1979;PST;0.26
Bern / Berne;1979;PSA;
Bern / Berne;1979;POCH;1.38
Bern / Berne;1979;PES;
Bern / Berne;1979;AVF;1.09
Bern / Berne;1979;Sol.;
Bern / Berne;1979;Rép.;0.2
Bern / Berne;1979;DS;3.58
Bern / Berne;1979;UDF;1.17
Bern / Berne;1979;PSL;
Bern / Berne;1979;Lega;
Bern / Berne;1979;MCR;
Bern / Berne;1979;Sép.;2.8
Bern / Berne;1979;Autres;0.59
Bern / Berne;1975;PLR;17.63
Bern / Berne;1975;PDC;5.29
