Canton	Annee	Parti	Electeurs fictifs	Suffrage en pourcent
Bern / Berne	2007	PCS		
Bern / Berne	2007	PVL		
Bern / Berne	2007	PBD		
Bern / Berne	2007	PST		
Bern / Berne	2007	PSA		
Bern / Berne	2007	POCH		
Bern / Berne	2007	PES	41545	12.89
Bern / Berne	2007	AVF		
Bern / Berne	2007	Sol.		
Bern / Berne	2007	Rép.		
Bern / Berne	2007	DS	4945	1.53
Bern / Berne	2007	UDF	11446	3.55
Bern / Berne	2007	PSL	1985	0.62
Bern / Berne	2007	Lega		
Bern / Berne	2007	MCR		
Bern / Berne	2007	Sép.		
Bern / Berne	2007	Autres	4299	1.33
Bern / Berne	2003	PLR	42436	14.8
Bern / Berne	2003	PDC	6723	2.34
Bern / Berne	2003	PS	80142	27.95
Bern / Berne	2003	UDC	84918	29.62
Bern / Berne	2003	PL		
Bern / Berne	2003	AdI		
Bern / Berne	2003	PEV	14761	5.15
Bern / Berne	2003	PCS		
Bern / Berne	2003	PVL		
Bern / Berne	2003	PBD		
Bern / Berne	2003	PST		
Bern / Berne	2003	PSA		
Bern / Berne	2003	POCH		
Bern / Berne	2003	PES	26594	9.28
Bern / Berne	2003	AVF		
Bern / Berne	2003	Sol.		
Bern / Berne	2003	Rép.		
Bern / Berne	2003	DS	7649	2.67
Bern / Berne	2003	UDF	11754	4.1
Bern / Berne	2003	PSL	3015	1.05
Bern / Berne	2003	Lega		
Bern / Berne	2003	MCR		
Bern / Berne	2003	Sép.	5590	1.95
Bern / Berne	2003	Autres	3128	1.09
Bern / Berne	1999	PLR	47435	17.18
Bern / Berne	1999	PDC	6669	2.42
Bern / Berne	1999	PS	76218	27.6
Bern / Berne	1999	UDC	78843	28.55
Bern / Berne	1999	PL		
Bern / Berne	1999	AdI	2112	0.76
Bern / Berne	1999	PEV	10979	3.98
Bern / Berne	1999	PCS		
Bern / Berne	1999	PVL		
Bern / Berne	1999	PBD		
Bern / Berne	1999	PST		
Bern / Berne	1999	PSA		
Bern / Berne	1999	POCH		
Bern / Berne	1999	PES	20599	7.46
Bern / Berne	1999	AVF		
Bern / Berne	1999	Sol.		
Bern / Berne	1999	Rép.		
Bern / Berne	1999	DS	10268	3.72
Bern / Berne	1999	UDF	10908	3.95
Bern / Berne	1999	PSL	7558	2.74
Bern / Berne	1999	Lega		
Bern / Berne	1999	MCR		
Bern / Berne	1999	Sép.		
Bern / Berne	1999	Autres	4554	1.65
Bern / Berne	1995	PLR	42389	15.65
Bern / Berne	1995	PDC	5015	1.85
Bern / Berne	1995	PS	66916	24.7
Bern / Berne	1995	UDC	70451	26.01
Bern / Berne	1995	PL	851	0.31
Bern / Berne	1995	AdI	5248	1.94
Bern / Berne	1995	PEV	10184	3.76
Bern / Berne	1995	PCS		
Bern / Berne	1995	PVL		
Bern / Berne	1995	PBD		
Bern / Berne	1995	PST		
Bern / Berne	1995	PSA		
Bern / Berne	1995	POCH		
Bern / Berne	1995	PES	15883	5.86
Bern / Berne	1995	AVF	6679	2.47
Bern / Berne	1995	Sol.		
Bern / Berne	1995	Rép.		
Bern / Berne	1995	DS	14771	5.45
Bern / Berne	1995	UDF	11292	4.17
Bern / Berne	1995	PSL	15869	5.86
Bern / Berne	1995	Lega		
Bern / Berne	1995	MCR		
Bern / Berne	1995	Sép.	3948	1.46
Bern / Berne	1995	Autres	1414	0.52
Bern / Berne	1991	PLR	42841	13.66
Bern / Berne	1991	PDC	8065	2.57
Bern / Berne	1991	PS	62612	19.96
Bern / Berne	1991	UDC	82590	26.33
Bern / Berne	1991	PL		
Bern / Berne	1991	AdI	9241	2.95
Bern / Berne	1991	PEV	10379	3.31
Bern / Berne	1991	PCS		
Bern / Berne	1991	PVL		
Bern / Berne	1991	PBD		
Bern / Berne	1991	PST	609	0.19
Bern / Berne	1991	PSA		
Bern / Berne	1991	POCH		
Bern / Berne	1991	PES	31014	9.89
